YEAR,REGION,STATEFIP,COUNTY,METRO,ASECWT,AGE,SEX,RACE,OCC,UHRSWORK1,EDUC,SCHLCOLL,INCWAGE,OFFTOTVAL,POVERTY
2024,33,48,0,3,2383.16,21,1,100,7330,999,73,5,15000,85000,23
2024,41,16,0,4,834.95,38,2,300,2545,26,73,5,20280,100747,23
2024,31,51,0,1,1843.26,41,2,100,0,999,73,5,0,31000,10
2024,41,30,0,1,599.84,71,2,100,0,999,91,0,0,76494,23
2024,41,49,0,3,1187.51,9,1,100,0,999,1,0,99999999,181435,23
2024,22,46,0,4,914.58,11,2,801,0,999,1,0,99999999,53552,23
2024,31,12,12086,3,3820.07,67,2,200,0,999,73,0,0,74070,23
2024,31,12,12083,4,3197.71,16,1,200,0,999,50,1,0,12988,10
2024,11,9,0,3,2075.33,53,2,651,1108,40,125,5,80000,211010,23
2024,31,37,0,1,2915.41,52,1,200,8990,40,73,5,30000,30000,23
2024,11,44,0,2,1408.75,70,1,100,710,40,111,0,0,62723,23
2024,31,24,24003,3,2266.2,22,1,100,1021,999,111,5,9000,136000,23
2024,11,25,25017,2,1295.0,15,1,200,0,999,30,0,0,82000,23
2024,41,30,0,1,395.38,23,1,300,9130,40,73,5,39000,171715,23
2024,22,27,0,3,2553.58,18,1,100,0,999,60,1,0,0,10
2024,31,11,11001,2,738.6,9,2,200,0,999,1,0,99999999,62140,23
2024,11,23,0,1,1515.96,80,1,100,0,999,60,0,0,0,10
2024,33,48,0,3,3063.99,42,2,100,0,999,123,5,0,102197,23
2024,33,48,0,1,2265.6,25,2,100,3930,80,73,5,0,50000,23
2024,41,30,0,1,290.07,53,2,100,10,997,111,5,250000,288600,23
2024,21,26,0,2,2619.91,34,2,100,4600,40,60,5,0,30259,10
2024,42,6,6073,2,2857.69,37,1,100,2320,55,123,5,75000,130100,23
2024,32,21,0,4,3223.9,18,1,200,0,999,60,5,0,92004,23
2024,42,6,6037,3,1977.68,11,2,100,0,999,1,0,99999999,332420,23
2024,22,27,0,2,4243.96,37,2,812,4110,20,73,5,35000,155215,23
2024,11,44,0,3,2087.91,2,1,200,0,999,1,0,99999999,190301,23
2024,42,6,6099,2,2519.6,40,2,100,2100,50,125,5,90000,366556,23
2024,31,12,12099,3,5599.76,38,1,100,4210,40,60,5,80000,80600,23
2024,11,9,9009,2,1916.33,45,2,100,0,999,111,5,0,45500,22
2024,33,48,0,1,4147.4,74,2,100,0,999,73,0,0,32050,23
2024,22,20,20173,2,1081.14,47,2,100,5740,40,73,5,54000,212552,23
2024,33,48,0,2,1916.98,66,1,100,0,999,20,0,0,9323,10
2024,33,40,0,0,1959.71,80,2,100,0,999,111,0,0,101040,23
2024,42,15,15003,3,606.69,60,2,651,0,999,111,0,156483,324903,23
2024,41,30,0,1,423.35,50,1,100,3545,40,91,5,60000,162052,23
2024,33,48,0,3,3154.47,24,2,651,4110,30,92,4,25222,364406,23
2024,32,1,0,1,1232.29,34,2,100,0,999,73,5,0,60000,23
2024,22,29,0,2,4023.0,73,2,100,0,999,73,0,0,35640,23
2024,32,1,0,2,2220.87,34,2,200,5510,40,92,5,33000,93007,23
2024,11,50,0,4,245.43,13,2,100,0,999,1,0,99999999,155148,23
2024,31,12,12009,2,4349.56,76,1,100,0,999,123,0,0,55246,23
2024,42,15,15003,2,470.47,32,2,651,3255,30,111,5,60000,122675,23
2024,32,1,0,1,1199.99,47,2,100,5000,40,111,5,64000,125216,23
2024,41,32,32003,2,2433.2,26,1,100,1360,40,111,5,40000,448403,23
2024,42,41,41017,4,4003.73,0,2,100,0,999,1,0,99999999,36000,23
